,Synthesized,ID,Solution Set: Group Experienced,,tokens,lemmas,pos_tagged
33,service - renting,4444535,"I envision a bike rack where you can check out bikes that also have an electric motor.  You swipe your credit card (or some sort of near field smartphone transaction, etc) and pay a small rental fee.  If the bike is lost or stolen your card will be charged appropriately.  You can ride around the downtown, college campus, etc, and at the end of the day check the bike back into another (or the same) bike rack.",,"[I, envision, a, bike, rack, where, you, can, check, out, bikes, that, also, have, an, electric, motor,  , You, swipe, your, credit, card, or, some, sort, of, near, field, smartphone, transaction, etc, and, pay, a, small, rental, fee,  , If, the, bike, is, lost, or, stolen, your, card, will, be, charged, appropriately,  , You, can, ride, around, the, downtown, college, campus, etc, and, at, the, end, of, the, day, check, the, bike, back, into, another, or, the, same, bike, rack]","['i', 'envision', 'a', 'bike', 'rack', 'where', 'you', 'can', 'check', 'out', 'bike', 'that', 'also', 'have', 'an', 'electric', 'motor', '', 'you', 'swipe', 'your', 'credit', 'card', 'or', 'some', 'sort', 'of', 'near', 'field', 'smartphone', 'transaction', 'etc', 'and', 'pay', 'a', 'small', 'rental', 'fee', '', 'if', 'the', 'bike', 'be', 'lose', 'or', 'steal', 'your', 'card', 'will', 'be', 'charge', 'appropriately', '', 'you', 'can', 'ride', 'around', 'the', 'downtown', 'college', 'campus', 'etc', 'and', 'at', 'the', 'end', 'of', 'the', 'day', 'check', 'the', 'bike', 'back', 'into', 'another', 'or', 'the', 'same', 'bike', 'rack']","[('i', 'PRON'), ('envision', 'VERB'), ('bike', 'NOUN'), ('rack', 'NOUN'), ('check', 'VERB'), ('bike', 'NOUN'), ('also', 'ADV'), ('electric', 'ADJ'), ('motor', 'NOUN'), (' ', 'SPACE'), ('you', 'PRON'), ('swipe', 'VERB'), ('credit', 'NOUN'), ('card', 'NOUN'), ('sort', 'NOUN'), ('near', 'ADJ'), ('field', 'NOUN'), ('smartphone', 'NOUN'), ('transaction', 'NOUN'), ('etc', 'X'), ('pay', 'VERB'), ('small', 'ADJ'), ('rental', 'NOUN'), ('fee', 'NOUN'), (' ', 'SPACE'), ('if', 'ADP'), ('bike', 'NOUN'), ('lose', 'VERB'), ('steal', 'VERB'), ('card', 'NOUN'), ('charge', 'VERB'), ('appropriately', 'ADV'), (' ', 'SPACE'), ('you', 'PRON'), ('ride', 'VERB'), ('around', 'ADP'), ('downtown', 'NOUN'), ('college', 'NOUN'), ('campus', 'NOUN'), ('etc', 'X'), ('end', 'NOUN'), ('day', 'NOUN'), ('check', 'VERB'), ('bike', 'NOUN'), ('back', 'ADV'), ('another', 'DET'), ('bike', 'NOUN'), ('rack', 'NOUN')]"
34,self-driving cars,4444513,"Free parking for self driving cars. Each family could use one car that would drive them around and then go to a designated spot nearby to wait. In it's downtime, it could even act as cab for other people so families could make more money.",,"[Free, parking, for, self, driving, cars, Each, family, could, use, one, car, that, would, drive, them, around, and, then, go, to, a, designated, spot, nearby, to, wait, In, its, downtime, it, could, even, act, as, cab, for, other, people, so, families, could, make, more, money]","['free', 'parking', 'for', 'self', 'drive', 'car', 'each', 'family', 'could', 'use', 'one', 'car', 'that', 'would', 'drive', 'them', 'around', 'and', 'then', 'go', 'to', 'a', 'designate', 'spot', 'nearby', 'to', 'wait', 'in', 'its', 'downtime', 'it', 'could', 'even', 'act', 'as', 'cab', 'for', 'other', 'people', 'so', 'family', 'could', 'make', 'more', 'money']","[('free', 'ADJ'), ('parking', 'NOUN'), ('self', 'NOUN'), ('drive', 'VERB'), ('car', 'NOUN'), ('each', 'DET'), ('family', 'NOUN'), ('could', 'VERB'), ('use', 'VERB'), ('one', 'NUM'), ('car', 'NOUN'), ('would', 'VERB'), ('drive', 'VERB'), ('around', 'ADV'), ('go', 'VERB'), ('designate', 'VERB'), ('spot', 'NOUN'), ('nearby', 'ADV'), ('wait', 'VERB'), ('in', 'ADP'), ('downtime', 'NOUN'), ('could', 'VERB'), ('even', 'ADV'), ('act', 'VERB'), ('cab', 'NOUN'), ('people', 'NOUN'), ('family', 'NOUN'), ('could', 'VERB'), ('make', 'VERB'), ('money', 'NOUN')]"
35,standard rail system,4444478,"An elevated air-tram service that connects to other major transportation options. Since it's above-ground, it can bypass a lot of traffic and one-way streets that plague and slow-down current options.",,"[An, elevated, airtram, service, that, connects, to, other, major, transportation, options, Since, its, aboveground, it, can, bypass, a, lot, of, traffic, and, oneway, streets, that, plague, and, slowdown, current, options]","['an', 'elevated', 'airtram', 'service', 'that', 'connect', 'to', 'other', 'major', 'transportation', 'option', 'since', 'its', 'aboveground', 'it', 'can', 'bypass', 'a', 'lot', 'of', 'traffic', 'and', 'oneway', 'street', 'that', 'plague', 'and', 'slowdown', 'current', 'option']","[('an', 'DET'), ('elevated', 'ADJ'), ('airtram', 'NOUN'), ('service', 'NOUN'), ('connect', 'VERB'), ('major', 'ADJ'), ('transportation', 'NOUN'), ('option', 'NOUN'), ('since', 'ADP'), ('aboveground', 'NOUN'), ('bypass', 'VERB'), ('lot', 'NOUN'), ('traffic', 'NOUN'), ('oneway', 'NOUN'), ('street', 'NOUN'), ('plague', 'VERB'), ('slowdown', 'VERB'), ('current', 'ADJ'), ('option', 'NOUN')]"
36,service - renting,4444460,"A simple bicycle exchange and rental program that works on a library card system. Bicycles are locked up around the city, and there are stations for returning bikes in padlocks. The whole system is operated by swiping a public library card.",,"[A, simple, bicycle, exchange, and, rental, program, that, works, on, a, library, card, system, Bicycles, are, locked, up, around, the, city, and, there, are, stations, for, returning, bikes, in, padlocks, The, whole, system, is, operated, by, swiping, a, public, library, card]","['a', 'simple', 'bicycle', 'exchange', 'and', 'rental', 'program', 'that', 'work', 'on', 'a', 'library', 'card', 'system', 'bicycles', 'be', 'lock', 'up', 'around', 'the', 'city', 'and', 'there', 'be', 'station', 'for', 'return', 'bike', 'in', 'padlock', 'the', 'whole', 'system', 'be', 'operate', 'by', 'swipe', 'a', 'public', 'library', 'card']","[('a', 'DET'), ('simple', 'ADJ'), ('bicycle', 'NOUN'), ('exchange', 'NOUN'), ('rental', 'ADJ'), ('program', 'NOUN'), ('work', 'VERB'), ('library', 'NOUN'), ('card', 'NOUN'), ('system', 'NOUN'), ('bicycles', 'PROPN'), ('lock', 'VERB'), ('around', 'ADP'), ('city', 'NOUN'), ('station', 'NOUN'), ('return', 'VERB'), ('bike', 'NOUN'), ('padlock', 'NOUN'), ('the', 'DET'), ('whole', 'ADJ'), ('system', 'NOUN'), ('operate', 'VERB'), ('swipe', 'VERB'), ('public', 'ADJ'), ('library', 'NOUN'), ('card', 'NOUN')]"
37,standard rail system,4444454,A public bus transport system that will alllow commuters to get from point A to point B. This will allow for citizens to save money and be energy efficient.,,"[A, public, bus, transport, system, that, will, alllow, commuters, to, get, from, point, A, to, point, B, This, will, allow, for, citizens, to, save, money, and, be, energy, efficient]","['a', 'public', 'bus', 'transport', 'system', 'that', 'will', 'alllow', 'commuter', 'to', 'get', 'from', 'point', 'a', 'to', 'point', 'b', 'this', 'will', 'allow', 'for', 'citizen', 'to', 'save', 'money', 'and', 'be', 'energy', 'efficient']","[('a', 'DET'), ('public', 'ADJ'), ('bus', 'NOUN'), ('transport', 'NOUN'), ('system', 'NOUN'), ('alllow', 'VERB'), ('commuter', 'NOUN'), ('get', 'VERB'), ('point', 'NOUN'), ('a', 'NOUN'), ('point', 'NOUN'), ('b', 'NOUN'), ('this', 'DET'), ('allow', 'VERB'), ('citizen', 'NOUN'), ('save', 'VERB'), ('money', 'NOUN'), ('energy', 'NOUN'), ('efficient', 'ADJ')]"
38,enhanced car,4444484,"Automated high-density, elongated cars.",,"[Automated, highdensity, elongated, cars]","['automate', 'highdensity', 'elongated', 'car']","[('automate', 'VERB'), ('highdensity', 'NOUN'), ('elongated', 'ADJ'), ('car', 'NOUN')]"
39,standard rail system,4444441,A bullet train to connect major cities in the state and outside of the state.,,"[A, bullet, train, to, connect, major, cities, in, the, state, and, outside, of, the, state]","['a', 'bullet', 'train', 'to', 'connect', 'major', 'city', 'in', 'the', 'state', 'and', 'outside', 'of', 'the', 'state']","[('a', 'DET'), ('bullet', 'NOUN'), ('train', 'NOUN'), ('connect', 'VERB'), ('major', 'ADJ'), ('city', 'NOUN'), ('state', 'NOUN'), ('outside', 'ADP'), ('state', 'NOUN')]"
40,flying,4444537,I have a transportational idea to use jet packs powered by biofuel.,,"[I, have, a, transportational, idea, to, use, jet, packs, powered, by, biofuel]","['i', 'have', 'a', 'transportational', 'idea', 'to', 'use', 'jet', 'pack', 'power', 'by', 'biofuel']","[('i', 'PRON'), ('transportational', 'ADJ'), ('idea', 'NOUN'), ('use', 'VERB'), ('jet', 'NOUN'), ('pack', 'NOUN'), ('power', 'VERB'), ('biofuel', 'NOUN')]"
41,000noise,4444515,future transportation system in my neighborhood is very important our life.,,"[future, transportation, system, in, my, neighborhood, is, very, important, our, life]","['future', 'transportation', 'system', 'in', 'my', 'neighborhood', 'be', 'very', 'important', 'our', 'life']","[('future', 'ADJ'), ('transportation', 'NOUN'), ('system', 'NOUN'), ('neighborhood', 'NOUN'), ('important', 'ADJ'), ('life', 'NOUN')]"
42,regulation,4444532,"I believe that there should be a police cars that have the ability to take control over other vehicles. For instance, if a criminal is speeding down a highway, then there should be a way to highjack that car in order to ensure the safety for other citizens.",,"[I, believe, that, there, should, be, a, police, cars, that, have, the, ability, to, take, control, over, other, vehicles, For, instance, if, a, criminal, is, speeding, down, a, highway, then, there, should, be, a, way, to, highjack, that, car, in, order, to, ensure, the, safety, for, other, citizens]","['i', 'believe', 'that', 'there', 'should', 'be', 'a', 'police', 'car', 'that', 'have', 'the', 'ability', 'to', 'take', 'control', 'over', 'other', 'vehicle', 'for', 'instance', 'if', 'a', 'criminal', 'be', 'speed', 'down', 'a', 'highway', 'then', 'there', 'should', 'be', 'a', 'way', 'to', 'highjack', 'that', 'car', 'in', 'order', 'to', 'ensure', 'the', 'safety', 'for', 'other', 'citizen']","[('i', 'PRON'), ('believe', 'VERB'), ('police', 'NOUN'), ('car', 'NOUN'), ('ability', 'NOUN'), ('take', 'VERB'), ('control', 'NOUN'), ('vehicle', 'NOUN'), ('for', 'ADP'), ('instance', 'NOUN'), ('criminal', 'NOUN'), ('speed', 'VERB'), ('highway', 'NOUN'), ('way', 'NOUN'), ('highjack', 'VERB'), ('car', 'NOUN'), ('order', 'NOUN'), ('ensure', 'VERB'), ('safety', 'NOUN'), ('citizen', 'NOUN')]"
43,moving surface,4444518,Giant Ice Luge Expressway That could get people from major buildings across town in a matter of minutes without traffic.,,"[Giant, Ice, Luge, Expressway, That, could, get, people, from, major, buildings, across, town, in, a, matter, of, minutes, without, traffic]","['giant', 'ice', 'luge', 'expressway', 'that', 'could', 'get', 'people', 'from', 'major', 'building', 'across', 'town', 'in', 'a', 'matter', 'of', 'minute', 'without', 'traffic']","[('giant', 'PROPN'), ('ice', 'PROPN'), ('luge', 'PROPN'), ('expressway', 'PROPN'), ('that', 'DET'), ('could', 'VERB'), ('get', 'VERB'), ('people', 'NOUN'), ('major', 'ADJ'), ('building', 'NOUN'), ('across', 'ADP'), ('town', 'NOUN'), ('matter', 'NOUN'), ('minute', 'NOUN'), ('without', 'ADP'), ('traffic', 'NOUN')]"
44,access,4444457,A sensor that let's the parent/ driver know that their child's car seat is properly installed,,"[A, sensor, that, lets, the, parent, driver, know, that, their, childs, car, seat, is, properly, installed]","['a', 'sensor', 'that', 'let', 'the', 'parent', 'driver', 'know', 'that', 'their', 'child', 'car', 'seat', 'be', 'properly', 'instal']","[('a', 'DET'), ('sensor', 'NOUN'), ('let', 'VERB'), ('parent', 'NOUN'), ('driver', 'NOUN'), ('know', 'VERB'), ('child', 'NOUN'), ('car', 'NOUN'), ('seat', 'NOUN'), ('properly', 'ADV'), ('instal', 'VERB')]"
45,self-driving cars,4444463,A system with auto mated self driving vehicles powered by cold fusion technology,,"[A, system, with, auto, mated, self, driving, vehicles, powered, by, cold, fusion, technology]","['a', 'system', 'with', 'auto', 'mat', 'self', 'drive', 'vehicle', 'power', 'by', 'cold', 'fusion', 'technology']","[('a', 'DET'), ('system', 'NOUN'), ('auto', 'NOUN'), ('mat', 'VERB'), ('self', 'NOUN'), ('drive', 'VERB'), ('vehicle', 'NOUN'), ('power', 'VERB'), ('cold', 'ADJ'), ('fusion', 'NOUN'), ('technology', 'NOUN')]"
46,standard rail system,4444540,I imagine a world where there are high speed rails all over my neighborhood. People will be travel in public transportation in a fast and effective manner to anywhere they want.,,"[I, imagine, a, world, where, there, are, high, speed, rails, all, over, my, neighborhood, People, will, be, travel, in, public, transportation, in, a, fast, and, effective, manner, to, anywhere, they, want]","['i', 'imagine', 'a', 'world', 'where', 'there', 'be', 'high', 'speed', 'rail', 'all', 'over', 'my', 'neighborhood', 'people', 'will', 'be', 'travel', 'in', 'public', 'transportation', 'in', 'a', 'fast', 'and', 'effective', 'manner', 'to', 'anywhere', 'they', 'want']","[('i', 'PRON'), ('imagine', 'VERB'), ('world', 'NOUN'), ('high', 'ADJ'), ('speed', 'NOUN'), ('rail', 'NOUN'), ('neighborhood', 'NOUN'), ('people', 'NOUN'), ('travel', 'NOUN'), ('public', 'ADJ'), ('transportation', 'NOUN'), ('fast', 'ADJ'), ('effective', 'ADJ'), ('manner', 'NOUN'), ('anywhere', 'ADV'), ('want', 'VERB')]"
47,levitation,4444525,"Hoverboards, such as the one that Tony Hawk endorsed, which use tracks which are magnetized, such as a MagLev train, have tracks going throughout suburbs and cities and we can get around with almost no friction, only air drag and spend less energy getting around.",,"[Hoverboards, such, as, the, one, that, Tony, Hawk, endorsed, which, use, tracks, which, are, magnetized, such, as, a, MagLev, train, have, tracks, going, throughout, suburbs, and, cities, and, we, can, get, around, with, almost, no, friction, only, air, drag, and, spend, less, energy, getting, around]","['hoverboards', 'such', 'as', 'the', 'one', 'that', 'tony', 'hawk', 'endorse', 'which', 'use', 'track', 'which', 'be', 'magnetized', 'such', 'as', 'a', 'maglev', 'train', 'have', 'track', 'go', 'throughout', 'suburb', 'and', 'city', 'and', 'we', 'can', 'get', 'around', 'with', 'almost', 'no', 'friction', 'only', 'air', 'drag', 'and', 'spend', 'less', 'energy', 'get', 'around']","[('hoverboards', 'NOUN'), ('one', 'NOUN'), ('tony', 'PROPN'), ('hawk', 'PROPN'), ('endorse', 'VERB'), ('use', 'NOUN'), ('track', 'NOUN'), ('magnetized', 'ADJ'), ('maglev', 'PROPN'), ('train', 'NOUN'), ('track', 'VERB'), ('go', 'VERB'), ('throughout', 'ADP'), ('suburb', 'NOUN'), ('city', 'NOUN'), ('get', 'VERB'), ('around', 'PART'), ('almost', 'ADV'), ('friction', 'NOUN'), ('air', 'NOUN'), ('drag', 'NOUN'), ('spend', 'VERB'), ('less', 'ADJ'), ('energy', 'NOUN'), ('get', 'VERB'), ('around', 'ADP')]"
48,regulation,4444496,Cell phone teleport,,"[Cell, phone, teleport]","['cell', 'phone', 'teleport']","[('cell', 'NOUN'), ('phone', 'NOUN'), ('teleport', 'NOUN')]"
49,service - renting,4444482,"Apartment complexes that have segway type machines that can be rented out. You can use them to go to the nearby grocery stores, etc, and return after an hour or so.",,"[Apartment, complexes, that, have, segway, type, machines, that, can, be, rented, out, You, can, use, them, to, go, to, the, nearby, grocery, stores, etc, and, return, after, an, hour, or, so]","['apartment', 'complex', 'that', 'have', 'segway', 'type', 'machine', 'that', 'can', 'be', 'rent', 'out', 'you', 'can', 'use', 'them', 'to', 'go', 'to', 'the', 'nearby', 'grocery', 'store', 'etc', 'and', 'return', 'after', 'an', 'hour', 'or', 'so']","[('apartment', 'NOUN'), ('complex', 'NOUN'), ('segway', 'NOUN'), ('type', 'NOUN'), ('machine', 'NOUN'), ('rent', 'VERB'), ('you', 'PRON'), ('use', 'VERB'), ('go', 'VERB'), ('nearby', 'ADJ'), ('grocery', 'NOUN'), ('store', 'NOUN'), ('etc', 'X'), ('return', 'VERB'), ('hour', 'NOUN')]"
